ao_locus_tag,kegg_gene_id,uniprot_accession,ncbi_gene_id,gene_name,function,compartment_raw
AO090701000396,aor:AO090701000396,Q2U8K7,5995298,,High osmolarity signaling protein SHO1 (High osmolarity signaling protein sho1) (Osmosensor SHO1) (Protein BZZ1),
AO090701000389,aor:AO090701000389,Q2U8L0,,,"1,3-beta-glucanosyltransferase (EC 2.4.1.-)","SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004609, ECO:0000256|RuleBase:RU361209}; Lipid-anchor, GPI-anchor {ECO:0000256|ARBA:ARBA00004609, ECO:0000256|RuleBase:RU361209}."
AO090701000378,aor:AO090701000378,Q2U8L8,5995287,,"DNA, SC111",
AO090701000364,aor:AO090701000364,Q2U8M9,5995276,,"DNA, SC111",
AO090701000360,aor:AO090701000360,Q2U8N3,5995272,,"DNA, SC111",
AO090701000359,aor:AO090701000359,Q2U8N4,5995271,,inositol-3-phosphate synthase (EC 5.5.1.4),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.
AO090701000355,aor:AO090701000355,Q2U8N6,5995269,,Arylsulfatase (AS) (EC 3.1.6.1) (Aryl-sulfate sulphohydrolase),
AO090701000349,aor:AO090701000349,Q2U8P2,5995263,,Alpha-acetolactate decarboxylase (EC 4.1.1.5),
AO090701000334,aor:AO090701000334,Q2U8Q6,5995249,,"DNA, SC111",
AO090701000329,aor:AO090701000329,Q2U8Q9,,,"DNA, SC111",SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.
AO090701000328,aor:AO090701000328,Q2U8R0,5995245,,"DNA, SC111",SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.
AO090701000318,aor:AO090701000318,Q2U8R8,5995237,,aldehyde dehydrogenase (NAD(+)) (EC 1.2.1.3),
AO090701000314,aor:AO090701000314,Q2U8S2,5995233,,beta-N-acetylhexosaminidase (EC 3.2.1.52),
AO090701000308,aor:AO090701000308,Q2U8S7,5995228,,poly(A)-specific ribonuclease (EC 3.1.13.4),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}. Nucleus {ECO:0000256|ARBA:ARBA00004123}.
AO090701000307,aor:AO090701000307,Q2U8S8,5995227,,Amine oxidase (EC 1.4.3.-),
AO090701000299,aor:AO090701000299,Q2U8T6,5995219,,S-adenosylmethionine synthase (EC 2.5.1.6),
